Columbia	5	5/30/1929	Los Angeles, California	W148568	1916-D	Lewisada blues / Ted Lewis and his Band
Columbia	2	7/19/1929	New York, New York	W148829	1917-D	Wonder of women [Motion picture]. At close of day / James Melton
Columbia	1	7/5/1929	New York, New York	W148789	1900-D	Drag [Motion picture]. My song of the Nile / Ben Selvin and his Orchestra
Columbia	2	6/7/1929	New York, New York	W148673	1905-D	Why bring that up? [Motion picture]. Shoo shoo bogie boo [Shoo shoo boogie boo] / Ethel Waters
Victor	2	4/21/1916	Camden, New Jersey	C-17535	55075	The water-carrier (Der Wasserträger). Guide thou my steps [Deux journées] / Reinald Werrenrath
Columbia	6	10/26/1917	New York, New York	77457	A2489	Over there / Marconi Brothers
Victor	2	11/28/1906	Philadelphia, Pennsylvania [unconfirmed]	E-4070	4964	Robin Hood. O promise me [Robin Hood. Oh, promise me] / Corinne Morgan
Victor	1A	1/19/1940	New York, New York. Studio 2	BS-046475	26488	Fifth symphony : Andante cantabile [Symphonies, no. 5, op. 64, E minor. Andante cantabile; arranged] / Nathaniel Shilkret ; Victor Salon Orchestra
Columbia	3	7/17/1929	New York, New York	W148818	1908-D	The moonlight march / Campus Boys ; Ted Wallace
Columbia	2	2/28/1925		105490	22016-F	Under Paris broar / Arvid Franzen ; John Lager
Columbia	2	6/21/1929	San Francisco, California	W148730	1915-D	Someday soon / Hotel Mark Hopkins Orchestra ; Anson Weeks
Victor	1	9/30/1915	New York, New York	C-16581	55072	The hymn of Charlemagne / Reinald Werrenrath
Victor	2	1/29/1915	Camden, New Jersey	C-15643	55051	Euridice. Funeste piagge [Euridice. Selections] / Reinald Werrenrath
Columbia	6	4/22/1920	New York, New York	79098	A2945	I know why / Morrison's Jazz Orchestra
Columbia	2	12/28/1910	New York, New York	19175	A983	7th Regiment : Gray Jackets. / Prince's Band
Columbia	3	12/31/1908	New York, New York	3962	A623	Norma. Theme and variations [Norma. Selections; arranged] / Marshall P. Lufsky
Columbia	3	12/3/1925	New York, New York	141346	75-H	No man's mama / Anthony Monde
Victor	1	1/19/1940	New York, New York. Studio 2	BS-046474	26488	Romeo and Juliette overture : Love theme [Romeo et Juliette (Fantasy-overture). Selections; arranged] / Nathaniel Shilkret ; Victor Salon Orchestra
Columbia	3	6/18/1928	New York, New York	W146536	1452-D	Washington and Lee swing / Jan Garber Orchestra
Columbia	4	6/24/1929	San Francisco, California	W148732	1915-D	Only for you / Anson Weeks Orchestra ; Anson Weeks
Columbia	1	5/24/1928	New York, New York	W146339	1911-D	The world is waiting for the sunrise / Charles Hackett
Columbia	3	7/9/1929	New York, New York	W148739	1902-D	He's so unusual / The Mystery Girl
Victor	1	12/17/1914	Camden, New Jersey	B-15526	45069	Euridice. Non piango e non sospiro [Euridice. Selections] / Reinald Werrenrath
Victor	2	12/17/1914	Camden, New Jersey	B-15524	45083	Orfeo. Tu se' morta [Orfeo. Tu se' morta] / Reinald Werrenrath
Victor	1	3/2/1916	Camden, New Jersey	B-17244	45092	The Indian queen. I attempt from Love's sickness to fly [Indian queen. I attempt from Love's sickness to fly] / Reinald Werrenrath
Victor	3	12/13/1915	Camden, New Jersey	C-16869	55068	Carmen. Chanson du toréador [Carmen. Chanson du toréador] / Reinald Werrenrath
Victor	1	12/6/1915	Camden, New Jersey	C-16865	55065	Oft in the stilly night / Reinald Werrenrath
Victor	1	1/29/1913	Camden, New Jersey	B-12856	17290	When the nightingale shall sing / Reinald Werrenrath
Victor	1	5/11/1923	Camden, New Jersey	C-27953	74815	Goin' home [Symphonies, no. 9, op. 95, E minor. Largo. Selections; arranged] / Reinald Werrenrath
Victor	2	9/12/1911	Camden, New Jersey	B-10949	16961	Scots, wha hae wi' Wallace bled / Reinald Werrenrath
