Columbia	2	6/14/1927	Chicago, Illinois	W144331	1121-D	Polly / Hotel Tuller Orchestra ; Gerald Marks
Columbia	2	3/7/1928	New York, New York	W145726	1335-D	My melancholy baby / Charleston Chasers ; Red Nichols
Columbia	3	4/4/1928	New York, New York	W145961	1725-D	Ai Suzette : Love song. / Edna Thomas
Columbia	2	9/22/1927	New York, New York	W144789	1174-D	I'm walkin' on air / Kitty O'Connor
Columbia	2	3/7/1928	New York, New York	W145727	1335-D	Mississippi mud / Charleston Chasers ; Red Nichols
Columbia	3	2/14/1929	New York, New York	W147848	1745-D	Sapphische Ode [Lieder, op. 94. Sapphische Ode] / Alexander Kipnis
Columbia	2	6/23/1927	New York, New York	W144394	1159-D	Watching the world go by / Ford and Glenn
Columbia	3	9/21/1928	New York, New York	W147028	1705-D	Good little, bad little you / Cliff Edwards
Edison	C	2/28/1918	New York, New York	5957	50469	The Darktown Strutters' Ball / Jaudas' Society Orchestra
Columbia	2	9/2/1927	New York, New York	W144617	1114-D	Good news!. The varsity drag / Franklyn Baur ; Cass Hagan ; Lewis James ; Park Central Hotel Orchestra ; Elliott Shaw
Columbia	3	4/27/1927	New York, New York	W144054	1186-D	Roll up the carpets / Paul Specht Orchestra
Columbia	2	10/27/1927	New Orleans, Louisiana	W145038	1270-D	Does it make any diff'rence to you / Mary Flood Gates
Columbia	2	1/16/1929	New York, New York	W147792	1712-D	The mule song / Vernon Dalhart
Zonophone	Unknown	2/28/1909	New York, New York	9193	5446	Popular chorus medley two-step, no. 3 / Zonophone Orchestra
Columbia	2	7/8/1927	New York, New York	W144446	1103-D	Swamp blues / Little Ramblers
Columbia	2	9/14/1927	New York, New York	W144672	1135-D	I love no one but you / Columbians
Columbia	3	11/7/1927	New York, New York	W144960	1187-D	A Connecticut Yankee. My heart stood still / Franklyn Baur ; Broadway Nitelites
Columbia	3	12/16/1927	New York, New York	W145419	1237-D	Good news. Good news / Singing Sophomores
Columbia	3	10/30/1927	New York, New York	W144933	1287-D	The beggar / Frank Harris ; Mal Hallett Orchestra
Columbia	4	11/22/1928	New York, New York	W147430	1641-D	Oh! You sweet old watcha may call it / The Diplomats
Columbia	3	2/8/1929	New York, New York	W147926	1736-D	Follow thru. Button up your overcoat / Paul Whiteman Orchestra
Victor	2	9/4/1925	Buenos Aires, Argentina [unconfirmed]	BA-654	79586	Recuerdos de arrabal / Oscar Rorra
Victor	1	4/24/1925	Buenos Aires, Argentina [unconfirmed]	BA-578	79546	Ecos de ausencia / Rosita Quiroga
Edison	A	4/21/1916	New York, New York	4677	50995	Marche indienne / Creatore's Band
Edison	B	4/23/1915	New York, New York	3726	50250	Stars and stripes forever march / Sodero's Band
Edison	C	4/20/1916	New York, New York	4671	50358	American fantasie / New York Military Band
Columbia	4	7/18/1927	New York, New York	W144466	1089-D	Here am I—broken hearted / Franklyn Baur ; Cass Hagan ; Park Central Hotel Orchestra
Columbia	3	8/29/1927	New York, New York	W144584	1109-D	Follies of 1927. Shaking the blues away / Franklyn Baur ; Harry Reser's Syncopators
Columbia	3	6/14/1927	Chicago, Illinois	W144328	1121-D	Slow river / Hotel Tuller Orchestra ; Gerald Marks
Columbia	2	9/30/1927	New York, New York	W144815	1138-D	Manhattan Mary. Manhattan Mary / Cass Hagan ; Lewis James ; Frank Luther ; Park Central Hotel Orchestra ; Elliott Shaw
Columbia	1	3/7/1927	Los Angeles, California	W143435	1155-D	Chimes / Sol Hoopii's Novelty Trio
Columbia	2	9/7/1927	New York, New York	W144639	1179-D	Idilio / Robert Hood Bowers ; Columbia Symphony Orchestra
Columbia	3	12/14/1927	New York, New York	W145407	1238-D	Among my souvenirs / James Melton
Columbia	2	12/31/1927	New York, New York	W145457	1254-D	(I'm cryin' 'cause I know I'm) Losing you / Cliff Edwards
Columbia	2	1/3/1928	New York, New York	W145466	1288-D	When you're with somebody else / Ruth Etting
Columbia	2	12/15/1927	New York, New York	W145411	1275-D	Mine—all mine / California Ramblers
