name,address,city,state,longitude,latitude,phone
Canada Olympic Park,"88 Canada Olympic Road SW, Calgary,AB",Calgary,AB ,-114.215597,51.08296,(403) 247-5452
Canyon Ski Area,"Site 8 Box 26 RR 2 Lcd 1, Red Deer,AB",Red Deer,AB ,-113.682207,52.304426,(403) 346-7003
Castle Mountain,"Box 610 Pincher Creek,  Banff National Park,AB",Pincher Creek,AB ,-114.413802,49.31866,(403) 543-4500
Drumheller Valley Ski Club,"1695 6th Ave SW, Drumheller,AB",Drumheller,AB ,-113.475781,53.53452,(403) 823-2277
Edmonton Ski Club,"9613 96 Ave NW, Edmonton,AB",Edmonton,AB ,-113.479045,53.53365,(780) 465-852
Fairview Ski Hill,"PO Box 618, Fairview,AB",Fairview,AB ,-118.604365,55.994589,(780) 835-4725
Fortress Mountain,"1 Fortress Mountain Rd, Kananaskis,AB",Fortress Mountain,AB ,-115.194227,50.818108,(403) 591-7108
Hidden Valley,"3314 17 Ave SW, Medicine Hat,AB",Cypress Hills Provincial Park,AB ,-110.26036,49.656765,(403) 893-3961
Kinosoo Ridge,"PO Box 390 Stn Main, Cold Lake, AB",Cold Lake Provincial Park,AB ,-110.019178,54.440092,(780) 594-5564
Marmot Basin,"1 Marmot Basin Road, Jasper,AB",Jasper,AB ,-118.082383,52.800994,(780) 852-3816
Misery Mountain,"10408  89 St, Peace River,AB",Peace River,AB ,-117.301805,56.226018,(780) 624-4881
Mount Norquay,"Mt Norquay Rd, Banff,AB",Banff,AB ,-115.599279,51.201544,(403) 762-4421
Nakiska Ski Resort,"PO Box 1988, Kananaskis,AB",Kananaskis,AB ,-115.150505,50.940679,(403) 591-7777
Nitehawk Recreation Area,"PO Box 1006, Grande Prairie,AB",Grand Prairie,AB ,-118.862656,55.05542,(780) 532-6637
Pass Powderkeg,"12402 18 Ave, Blairmore,AB",Crowsnest Pass,AB ,-114.449448,49.602317,(403) 562-8334
Rabbit Hill Snow Resort,"25512 Township Road 510, Leduc County,AB",Edmonton,AB ,-113.675708,53.381075,(780) 955-2440
Silver Summit,"1184 Wedgewood Blvd NW, Edmonton,AB",Edmonton,AB ,-113.703645,53.484433,(780) 447-4476
Snow Valley Ski Club,"119 St off Whitemud Freeway, Edmonton,AB",Edmonton,AB ,-113.555339,53.483583,(780) 434-3991
Sunridge Ski,"10980 17 St, Edmonton,AB",Edmonton,AB ,-113.369292,53.562514,(780) 449-6555
Sunshine Village,"400/500 11 Ave SW, Calgary,AB",Calgary,AB ,-115.761932,51.115397,(403) 705-4000
The Lake Louise Ski Area,"1 Whitehorn Road, Lake Louise,AB",Lake Louise,AB ,-116.162865,51.44197,(877) 956-8473
Vista Ridge,780-799-SNOW,Fort Mcmurray,AB ,-111.133512,56.661418,(780) 799-SNOW
Whispering Pines,"PO Box 180, Worsley,AB",Worsley,AB ,-119.391494,56.602188,(780) 685-2594
Apex Mountain Resort,"115 Clearview Crescent, Penticton,AB",Penticton,BC ,-119.904022,49.39104,(250) 292-8118
Big White Ski Resort,"5315 Big White Rd, Kelowna,BC",Kelowna,BC ,-118.92577,49.718566,(250) 765-8888
Crystal Mountain,"PO Box 26044 Rpo Westbank, Westbank,BC",Crystal Mountain,BC ,-119.710794,49.88041,(250) 768-5189
Cypress Mountain,"6000 Cypress Bowl Rd, West Vancouver,BC",West Vancouver,BC ,-123.202498,49.395115,(604) 926-5612
Fernie Alpine Resort,"5339 Fernie Ski Hill Road RR 6, Fernie,BC",Fernie,BC ,-115.085791,49.462997,(250) 423-4655
Grouse Mountain,"Nancy Greene Way, North Vancouver,BC",Vancouver,BC ,-123.078523,49.380984,(604) 986-6262
Harper Mountain,"2042 Valleyview Dr, Kamloops,BC",Kamloops,BC ,-120.139737,50.723289,(250) 372-2119
Hemlock Resort,"20955 Hemlock Valley Road, Agassiz,BC",Agissiz,BC ,-121.93634,49.379895,(604) 797-4411
Kicking Horse Resort,"1500 Kicking Horse Trail, Golden,BC",Golden,BC ,-117.047155,51.297888,(250) 439-5424
Kimberley Alpine Resort,"Box 40, Kimberley,BC",Kimberly,BC ,-116.00827,49.685914,(403) 244-6665
Mount Washington Alpine Resort,"1 Strathcona Pkwy, Mount Washington,BC",Mount Washington,BC ,-125.298295,49.739333,(888) 231-1499
Red Mountain Resort,"4300 Red Mountain Rd, Rossland,BC",Rossland,BC ,-117.819631,49.104014,(800) 663-1015
Revelstoke Mountain Resort,"2870 Camozzi Rd, Revelstoke,BC",Revelstoke,BC ,-118.150691,50.954643,(250) 837-9400
Silver Star Mountain Resort,"PO Box 3002, Silver Star Mountain,BC",Silver Star Mountain,BC ,-119.060773,50.359047,(250) 542-1745
Sun Peaks Resort,"1280 Alpine Road, Sun Peaks,BC",Sun Peaks,BC ,-119.889384,50.883869,(250) 578-7222
Whistler Blackcomb,"4545 Blackcoomb Wy, Whistler,BC",Whistler,BC ,-122.944343,50.111444,(604) 932-3434
Asessippi Ski Area,"Box 70, Inglis,MB",Inglis,MB ,-101.340102,50.951128,(204) 564-2000
Falcon Ridge Ski Area,"PO Box 130, Falcon Beach,MB",Falcon Beach,MB ,-95.19075,49.70406,(204) 349-8935
Holiday Mountain,"Holiday Mountain, La Riviere,MB",La Riviere,MB ,-98.694045,49.237479,(204) 242-2172
Mystery Mountain Winter Resort,"PO Box 246, Thompson,MB",Thompson,MB ,-97.777107,55.868939,(204) 242-2172
Stony Mountain Ski Area,"11016 E Sellars Hill Road, Stony Mountain,MB",Stony Mountain,MB ,-97.206603,50.094291,(204) 344-5977
Crabbe Mountain,"Crabbe Mountain Rd, Bright,NB",Central Hainesville,NB ,-67.106437,46.119638,(506) 463-8259
Poley Mountain,"1015 Main St, Sussex,NB",Sussex,NB ,-65.361691,45.676037,(866) 433-2480
Sugarloaf Provincial Park Ski Resort,"Sugarloaf Provincial Park, Atholville,NB",Atholville,NB ,-66.694751,47.982424,(506) 789-2366
Marble Mountain,"PO Box 245 RR 1, Corner Brook,NF",Corner Brook,NF ,-57.83512,48.949053,(902) 492-960
White Hills (Newfoundland),"100 White Hills Rd, Clarenville,NF",Clarenville,NF ,-54.045962,48.163047,(800) 466-4559
Beaver Valley Ski Club,"RR 4 100 Pioneer Dr, Markdale,ON",Markdale,ON ,-80.544543,44.35757,(519) 986-2520
Blue Mountain Ski Resort,"108 Jozo Weider Blvd, Collingwood,OH",Collingwood,ON ,-80.304199,44.496724,(877) 445-231
Boler Mountain,"689 Griffith St, London,ON",London,ON ,-81.33804,42.94432,(519) 657-8822
Calabogie Peaks,"30 Barrett Chute Road, Calabogie,ON",Calabogie,ON ,-76.780389,45.275699,(613) 752-2720
Caledon Ski Club,"17431 Mississauga Rd, Caledon,ON",Caledon,ON ,-80.012818,43.801578,(519) 927-5221
Chicopee Ski Club,"396 Morrison Rd, Kitchener,ON",Kitchener,ON ,-80.424412,43.436525,(877) 244-2673
Cobble Hills Ski and Snowboard Club,"5714 Cobble Hills Rd, Thamesford,ON",Thamesford,ON ,-81.069081,43.108572,(519) 461-1720
Dagmar Resort,"1220 Lakeridge Rd, Ashburn,ON",Ashburn,ON ,-79.058451,44.012251,(905) 649-2002
Devil's Elbow Ski Area,"878 Bethany Hills Rd, Bethany,ON",Bethany,ON ,-78.559482,44.247101,(705) 277-2012
Glen Eden Ski and Snowboarding Centre,"5234 Kelso Rd, Milton,ON",Milton,ON ,-79.943577,43.506824,(905) 878-5011
Hardwood Hills,"402 Old Barrie Rd West RR1, Oro Station,ON",Oro Station,ON ,-79.597154,44.518515,(705) 487-3775
Hidden Valley Highlands,"1655 Hidden Valley Rd, Huntsville,ON",Huntsville,ON ,-79.132218,45.357445,(800) 398-9555
Hockley Valley Resort,"RR 1 3rd Line, Orangeville,ON",Orangeville,ON ,-80.046303,43.977962,(519) 942-754
Horseshoe Resort,"1101 Horseshoe Valley Rd, Barrie,ON",Barrie,ON ,-79.67383,44.550402,(800) 461-5627
Matawa Ski Hill,"PO Box 541, Mattawa,ON",Matawa,ON ,-78.530727,46.291131,(800) 762-2339
The Gerogian Peaks Club,"PO Box 400, Thornbury,ON",Thornbury,ON ,-80.376964,44.534752,(519) 599-6771
Belle Neige,"6820 Rt 117, Val Morin,QC",Val Morin,QC ,-74.279506,46.048351,(877) 600-3311
Bromont Ski Resort,"150 Champlain St, Bromont,QC",Bromont,QC ,-72.638536,45.303422,(450) 534-2200
Camp Fortune,"300 Chemin Dunlop, Chelsea,QC",Chelsea,QC ,-75.852867,45.508978,(819) 827-1717
Le Massif Petite Riviere,"1350 Rue Principale, Petite Riviere St Francois,QC",Saint Francois,QC,-70.609866,47.278108,(418) 632-5876
Les Relais,"1084 Boulevard du Lac, Lac Beauport,QC",Lac Beauport,QC ,-71.300494,46.940968,(866) 373-5247
Massif du Sud,"1989 Rt Du Massif, Bellechasse,QC",Bellechasse,QC ,-70.488915,46.621414,
Mont Cascades,"448 Mont Cascades,Cantley,QC",Cantley,QC ,-75.84954,45.592887,(888) 282-2722
Mont Gabriel,"1699 Chemin Du Mont Gabriel, Sainte Adele,QC",Sainte Adele,QC ,-74.142503,45.91561,(800) 668-5253
Mont Grand Fonds,"1000 Chemin des Loisirs, La Malbaie,QC",La Maibaie,QC ,-70.104026,47.771004,(418) 665-4120
Mont Orford,"4380 Chemin du Parc, Orford,QC",Orford,QC ,-72.219559,45.318219,(800) 567-2772
Mont Original,"Lac Etchemin, QC",Lac Etchemin,QC ,-70.581138,46.410576,(877) 335-1551
Mont Saint Bruno,"550 Rang des Vingt Cinq, St Bruno,QC",Saint Bruno,QC ,-73.365584,45.536409,(450) 653-3646
Mont Sainte Anne,"500 Beaupre Blvd, Beaupre,QC",Beaupre,QC ,-70.905624,47.074284,(888) 827-4579
Mont Tremblant,"1000 Chemin des Voyageurs, Mont Tremblant,QC",Quebec,QC ,-74.596888,46.205323,(888) 738-1777
Owl's Head,"40 Ch Du Mont Owls Head, Mansonville,QC",Mansonville,QC ,-72.300214,45.073871,(800) 363-3067
Parc du Mont Comi,"300 Chemin du Plateau, Saint Donat de Rimouski,QC",Saint Donat De Rimouski,QC ,-68.195319,48.467265,(418) 739-4858
Ski Chantecler,"1474 Chemin Chantecler 15 nord Exit 67, Saint Adele,QC",Saint Adele,QC ,-74.175179,45.963351,(888) 916-1616
Vallee Bleue Ski Centre,"1418 Chemin Vallee Bleue, Val David,QC",Val David,QC ,-74.214528,46.022578,(866) 322-3427
