id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
109,Amazing bright elegant condo park front *UPGRADED*,521,Paolo,Other Cities,Culver City,33.98301,-118.38607,Entire home/apt,115,30,2,2016-05-15,0.02,1,226,0,
2708,Runyon Canyon | Beau Furn Mirror Mini-Suite Firplc,3008,Chas.,City of Los Angeles,Hollywood,34.09625,-118.34605,Private room,89,30,33,2021-11-01,0.69,3,327,5,
2732,Zen Life at the Beach,3041,Yoga Priestess,Other Cities,Santa Monica,34.0044,-118.48095,Private room,167,7,21,2019-12-27,0.35,2,359,0,228269
2864,* Beautiful Master Suite/Jacuzzi Tub/*,3207,Bernadine,Other Cities,Bellflower,33.8749,-118.11515,Entire home/apt,50,30,0,,,1,0,0,
3021,Hollywood Hills Zen Modern style Apt/Guesthouse,3415,Nataraj,City of Los Angeles,Hollywood Hills West,34.1116,-118.38223,Entire home/apt,118,31,23,2018-10-31,0.23,4,308,0,
5728,Tiny Home in Artistic Oasis near Venice and LAX,9171,Sanni,City of Los Angeles,Del Rey,33.9875,-118.432,Private room,50,30,312,2021-08-31,4.25,4,148,2,HSR19-002149
5729,Zen Room with Floating Bed near Venice and LAX,9171,Sanni,City of Los Angeles,Del Rey,33.9875,-118.432,Private room,65,30,233,2021-10-31,4.48,4,121,3,HSR19-002149
5843,Artist Oasis near Venice Beach w/ Beautiful Garden,9171,Sanni,City of Los Angeles,Del Rey,33.9875,-118.432,Entire home/apt,130,30,128,2020-08-22,1.00,4,0,0,HSR19-002149
6033,Poolside Serenity Studio,11619,Sarah,City of Los Angeles,Woodland Hills,34.16887,-118.64478,Entire home/apt,89,30,25,2020-03-22,0.17,6,84,0,
6931,Run Runyon | Beau Furn Rm Dres Rm/Walk-In Clst Ter,3008,Chas.,City of Los Angeles,Hollywood,34.0949,-118.34766,Private room,109,30,29,2021-09-18,1.03,3,289,7,
7992,"Quiet,Walkable Area/Sanitized/CozySpot",22363,Tom,City of Los Angeles,Atwater Village,34.11364,-118.26068,Entire home/apt,117,1,253,2021-12-03,2.06,2,140,12,HSR19-003514
9140,City Place Lofts,28350,Wendell,Other Cities,Long Beach,33.77202,-118.18852,Private room,80,31,393,2019-11-25,4.48,1,0,0,
9376,"Bright Apt, walk to Venice Beach",30319,Cristina,City of Los Angeles,Venice,33.99782,-118.47698,Private room,85,30,51,2021-07-18,0.34,2,359,3,
10760,CASAMIGOS,38596,Debra,City of Los Angeles,Mid-Wilshire,34.0546,-118.35495,Private room,74,30,45,2015-08-22,0.36,1,84,0,
11374,1 King Bed Room - Hotel Sea Rock Inn - Los Angeles,42220,Searockinn,Other Cities,Gardena,33.90507,-118.29217,Private room,88,1,59,2021-11-27,0.45,11,358,22,
11511,Craftsman Duplex-Hollywood!,40884,Suzan And Michael,City of Los Angeles,Hollywood Hills,34.11408,-118.32234,Entire home/apt,195,30,7,2015-08-13,0.05,2,339,0,
11877,Le petit bungalow private entrance + bikes in VB,30484,Pascalou,City of Los Angeles,Venice,33.99573,-118.47216,Entire home/apt,95,30,46,2021-06-01,0.47,2,75,1,
13776,Burnham Beach Cottage 1,31306,Wendy,Other Cities,Redondo Beach,33.83931,-118.38638,Entire home/apt,153,2,201,2021-11-20,1.39,3,306,27,
14098,"Glamour Calls Us A Haven of Peace, Modern Architectural Zen Hollywood Hills",55411,Hank,City of Los Angeles,Hollywood Hills,34.11834,-118.31997,Entire home/apt,312,5,33,2021-09-21,0.25,9,31,6,HSR19-003021
14124,Burnham Beach Cottage 2,31306,Wendy,Other Cities,Redondo Beach,33.83931,-118.38638,Entire home/apt,160,2,169,2021-11-21,1.20,3,328,6,
15089,*****Modern & Chic Spanish Bungalow @ Casa Redondo,59169,Josh,City of Los Angeles,Mid-City,34.04244,-118.3522,Entire home/apt,149,3,70,2021-11-29,0.76,3,341,7,HSR19-000600
15333,The Enchanted Manor-Private Oasis,60057,Georgia,City of Los Angeles,Valley Village,34.16497,-118.41157,Private room,495,2,7,2021-10-23,0.11,2,335,3,HSR19-000906
18041,Bohemian home w/detached Studio & Rooftop Jacuzzi,69546,Lisa,City of Los Angeles,Venice,33.99179,-118.45056,Entire home/apt,282,30,3,2020-08-27,0.14,3,0,0,HSR19-004534
18067,Bohemian home w/rooftop jacuzzi  & tiki bar,69546,Lisa,City of Los Angeles,Venice,33.99117,-118.45159,Entire home/apt,207,2,57,2021-11-20,0.63,3,3,6,HSR21-002074
19887,Eco-friendly Private Room in Silverlake House,75052,Janet,City of Los Angeles,Silver Lake,34.08363,-118.2843,Private room,75,30,253,2020-03-14,2.84,2,365,0,
20585,"Private Studio, 6 Doors to Beach",77857,Barbara,City of Los Angeles,Venice,33.98047,-118.46514,Entire home/apt,129,3,515,2021-11-07,5.23,1,109,28,HSR19-001144
20786,Mondrian-Inspired Studio With Breathtaking Views And Light,55411,Hank,City of Los Angeles,Hollywood Hills,34.11187,-118.32479,Entire home/apt,229,5,43,2021-10-14,0.37,9,68,7,HSR19-003405
22355,"Experience Angeleno Magazine's ""Best Rental In Hills""",55411,Hank,City of Los Angeles,Hollywood Hills,34.11374,-118.32503,Entire home/apt,209,5,54,2021-11-03,0.39,9,63,9,HSR19-003405
23710,Green Sputnik in Highland Park,94038,Tatiana,City of Los Angeles,Highland Park,34.12057,-118.18934,Entire home/apt,188,1,289,2021-12-05,2.37,1,121,59,HSR19-001190
23925,Cactus Flower - Modernist Solar Guesthouse with Large Garden,95543,Ecoboutiquehomes,City of Los Angeles,Venice,34.0025,-118.4657,Entire home/apt,297,3,161,2021-11-01,3.67,10,151,36,HSR19-004625
23979,Sleek New York Style Loft With Jaw-Dropping Hollywood Views,55411,Hank,City of Los Angeles,Hollywood Hills,34.11957,-118.32013,Entire home/apt,212,5,35,2021-11-04,0.25,9,95,9,HSR19-003021
24030,Beach Bungalow one block to ocean,96147,Michaela,City of Los Angeles,Venice,33.98798,-118.47245,Entire home/apt,130,30,271,2021-06-24,3.51,1,364,1,
24041,2block from beach-Historic Bungalow discount/month,39253,Omar & Kristina,Other Cities,Redondo Beach,33.83889,-118.38537,Entire home/apt,160,4,354,2021-11-12,2.49,2,267,6,
24349,"Experience the Wolford House, a Mid Century Hilltop Jewel",98565,Zara,City of Los Angeles,Mount Washington,34.10942,-118.22003,Entire home/apt,305,30,145,2021-09-07,1.87,1,41,25,HSR19-005705
25670,Charming accommodations in Westwood/West LA,107370,Sandra,City of Los Angeles,West Los Angeles,34.04579,-118.44166,Entire home/apt,93,30,19,2021-04-21,0.19,2,359,1,Exempt - This listing is a bed and breakfast
26082,Asian Pacific Suite,11619,Sarah,City of Los Angeles,Woodland Hills,34.1674,-118.64293,Private room,89,30,30,2020-03-12,0.23,6,25,0,
26157,Cozy Bed Room in  Westwood/ West L.A area,107370,Sandra,City of Los Angeles,West Los Angeles,34.04508,-118.44076,Private room,94,30,0,,,2,365,0,Exempt - This listing is a bed and breakfast
28529,2BR DWELL Inspired Escape InThe Sky Peace+Privacy,55411,Hank,City of Los Angeles,Hollywood Hills,34.11212,-118.32526,Entire home/apt,289,5,36,2021-11-16,0.26,9,73,10,HSR19-003405
31237,Charming & cozy room with breakfast!!,134109,Jeffrey,City of Los Angeles,Los Feliz,34.10291,-118.28698,Private room,90,30,186,2018-10-07,1.34,1,365,0,
32850,"Privt CondoApt, Kitchenette, Pool, Gated Prkg,WiFi",130446,Larry Or Carol,City of Los Angeles,Tarzana,34.17309,-118.53169,Entire home/apt,59,76,11,2019-07-20,0.08,1,88,0,
32963,The Zanja Shangri-La,142776,Spencer,Other Cities,Culver City,33.99327,-118.44407,Entire home/apt,175,2,147,2021-11-10,3.37,1,177,13,
33447,Malibu Guest house/ near beach,144837,Patricia,Other Cities,Malibu,34.01451,-118.8064,Entire home/apt,188,30,332,2020-03-16,2.41,1,0,0,
